"编号","日期","类型","热量/kcal","餐品描述","照片"
"71cff2a8","2015-12-01","早餐","381","小笼包八个，一个茶叶蛋。","upload/photo/2015-12-01/ee085049cfa090527ee9c25ca581a18e.jpg"
"71cff2a8","2015-12-01","午餐","503","豆腐，鱼香肉丝，半碗米饭。","upload/photo/2015-12-01/2859ec694f38356da4c6ddc2a9e3e5bb.jpg"
"71cff2a8","2015-12-01","晚餐","0","无= =","upload/photo/2015-12-01/5a3321d53377fedcf3396a5127bf7dd4.jpg"
"71cff2a8","2015-12-02","早餐","518","两只包子，一个荷包蛋","upload/photo/2015-12-02/3a27abe87d3e36fb141d0f8f972eb6dd.jpg"
"71cff2a8","2015-12-02","午餐","450","300g烤肉","upload/photo/2015-12-02/09585165ecfa0dbade798354ee595d62.jpg"
"71cff2a8","2015-12-02","晚餐","129","一袋小橘子，约10-15个","upload/photo/2015-12-02/5ac8d825291fb4db51a61a71fe39ef18.jpg"
"71cff2a8","2015-12-03","早餐","450","八块？焦糖饼干","upload/photo/2015-12-03/6ddeacb26f0168803ccde3c6a43c7a34.jpg"
"71cff2a8","2015-12-03","午餐","575","芝士年糕~","upload/photo/2015-12-03/285576096dc8485d02b59e6a6aa3247f.jpg"
"71cff2a8","2015-12-03","晚餐","180","酸奶一个","upload/photo/2015-12-03/2aa40f36b377cef0254816c5426389fd.jpg"
"71cff2a8","2015-12-04","早餐","518","一瓶AD钙奶，一个蛋黄肉粽","upload/photo/2015-12-04/4d3ddbfdfa09ec3f2d8f23daba05ff1e.jpg"
"71cff2a8","2015-12-04","午餐","533","半碗米饭，一碟西红柿炒鸡蛋，一碟炒土豆丝。一碟鸡蛋羹。","upload/photo/2015-12-04/d0f9bad8781a60d35b354b2aee351955.jpg"
"71cff2a8","2015-12-04","晚餐","200","一杯奶茶。一个苹果。","upload/photo/2015-12-04/2c21bc74e25dd295481326543eca39d9.jpg"
"71cff2a8","2015-12-05","早餐","0","无","upload/photo/2015-12-05/6bcf8c84d66e9161d235b1840c986b56.jpg"
"71cff2a8","2015-12-05","午餐","341","一碟意大利面","upload/photo/2015-12-05/dc58dde0492bcdb5305002bcc1f37d2f.jpg"
"71cff2a8","2015-12-05","晚餐","287","一碗重庆小面","upload/photo/2015-12-05/e46a027a28d4068451759c2e4fba19ee.jpg"
"71cff2a8","2015-12-06","早餐","0","无","upload/photo/2015-12-06/6f9583d09dbdacbd65a256b1486516d0.jpg"
"71cff2a8","2015-12-06","午餐","600","六分之一个蛋糕","upload/photo/2015-12-06/736f2764b64afb0e4802918b48b0dbb2.jpg"
"71cff2a8","2015-12-06","晚餐","108","一杯酸奶","upload/photo/2015-12-06/d2969bfa96cee07e875321700a68b22a.jpg"
"71cff2a8","2015-12-07","早餐","600","一个面包。。","upload/photo/2015-12-07/01c3fc3a2fd698e74c932679a360d895.jpg"
"71cff2a8","2015-12-07","午餐","700","几口牛蛙，几口鸡肉，几口豆腐，几口茄子。。","upload/photo/2015-12-07/48e534bfabacad23d025839c2fe5623b.jpg"
"71cff2a8","2015-12-07","晚餐","255","皮蛋瘦肉粥","upload/photo/2015-12-07/a5ca59fed06b9e027e25c987288b1796.jpg"
